ID_P_I,DATE_I,INJURY_I
288,"01/06/06 00:00:00","leg"
619,"01/10/06 00:00:00","illness"
686,"01/10/06 00:00:00","shoulder"
24,"01/11/06 00:00:00","left hip"
288,"01/12/06 00:00:00","left thigh"
1042,"01/31/06 00:00:00","stomach"
1092,"02/02/06 00:00:00","shoulder"
717,"02/16/06 00:00:00","allergy"
76,"02/18/06 00:00:00","groin"
435,"02/20/06 00:00:00","injured leg"
935,"02/20/06 00:00:00","ankle"
6465,"02/27/06 00:00:00","right wrist"
468,"03/01/06 00:00:00","left shoulder"
37,"03/02/06 00:00:00","sinuses"
78,"03/03/06 00:00:00","left achilles"
935,"03/11/06 00:00:00","flu"
4009,"04/13/06 00:00:00","nerve, lower back"
47,"04/13/06 00:00:00","gastro"
56,"04/26/06 00:00:00","wrist"
4010,"04/29/06 00:00:00","leg"
4009,"05/15/06 00:00:00","breathing difficulty"
78,"05/16/06 00:00:00","shoulder"
22,"05/16/06 00:00:00","pollen allergy"
678,"06/22/06 00:00:00","shoulder"
74,"07/11/06 00:00:00","groin"
453,"07/11/06 00:00:00","left ankle"
563,"07/12/06 00:00:00","wrist"
2904,"07/19/06 00:00:00","heat illness"
30,"07/22/06 00:00:00","right shoulder"
662,"07/24/06 00:00:00","wrist"
47,"07/25/06 00:00:00","right elbow"
918,"07/25/06 00:00:00","right ankle"
1042,"07/26/06 00:00:00","dizziness"
487,"07/26/06 00:00:00","right elbow"
89,"07/28/06 00:00:00","left side strain"
666,"08/01/06 00:00:00","back"
840,"08/01/06 00:00:00","heat exhaustion"
864,"08/01/06 00:00:00","respiratory distress"
76,"08/05/06 00:00:00","groin"
578,"08/22/06 00:00:00","left hip"
672,"08/23/06 00:00:00","right ankle"
78,"08/25/06 00:00:00","right elbow"
655,"09/13/06 00:00:00","knee"
568,"09/15/06 00:00:00","dizziness"
563,"09/16/06 00:00:00","ankle"
487,"09/25/06 00:00:00","right shoulder"
54,"09/26/06 00:00:00","gastroenteritis"
98,"09/27/06 00:00:00","lower back"
98,"09/27/06 00:00:00","lower back"
6465,"09/28/06 00:00:00","stomach"
4045,"09/30/06 00:00:00","left foot"
661,"09/30/06 00:00:00","right hip"
1042,"10/10/06 00:00:00","right knee"
532,"10/11/06 00:00:00","back"
13,"10/11/06 00:00:00","right shoulder"
515,"10/14/06 00:00:00","stomach"
36,"10/16/06 00:00:00","stomach"
579,"10/19/06 00:00:00","sore throat"
1449,"10/19/06 00:00:00","lower back"
920,"10/24/06 00:00:00","stomach muscle"
558,"10/25/06 00:00:00","foot"
75,"10/25/06 00:00:00","sprained ankle"
568,"10/25/06 00:00:00","right ankle"
13,"10/25/06 00:00:00","thigh"
288,"10/31/06 00:00:00","sickness"
22,"11/04/06 00:00:00","sickness"
728,"01/02/07 00:00:00","inner thigh"
920,"01/02/07 00:00:00","dizziness"
717,"01/04/07 00:00:00","upset stomach"
677,"01/09/07 00:00:00","groin"
568,"01/10/07 00:00:00","right foot"
520,"01/12/07 00:00:00","virus"
431,"02/01/07 00:00:00","right shoulder"
71,"02/02/07 00:00:00","fatigue"
557,"02/02/07 00:00:00","leg inury"
1092,"02/09/07 00:00:00","Knee"
677,"02/09/07 00:00:00","Thigh"
6487,"02/05/07 00:00:00","Sprained Right Ankle"
875,"02/05/07 00:00:00","Bronchitis"
8806,"02/05/07 00:00:00","Sprained Right Ankle"
1531,"02/05/07 00:00:00","Lower Back"
824,"02/05/07 00:00:00","Migraine"
935,"02/05/07 00:00:00","Unknown"
3182,"02/05/07 00:00:00","Shoulder"
431,"02/05/07 00:00:00","Shoulder"
791,"02/05/07 00:00:00","Flu"
217,"02/05/07 00:00:00","Right Hamstring"
